"protein","ism_activator_ratio","ism_repressor_ratio","isa_activator_ratio","isa_repressor_ratio","ism_defined","isa_defined"
"HES1",0.21875,0.258928571428571,0.633928571428571,0.352678571428571,"unknown","activator"
"HES6",0.184782608695652,0.304347826086957,0.576086956521739,0.369565217391304,"unknown","activator"
"HES7",0.191489361702128,0.117021276595745,0.526595744680851,0.430851063829787,"unknown","activator"
"HEY1",0.296610169491525,0.296610169491525,0.567796610169492,0.38135593220339,"unknown","activator"
"HIC1",0.16,0.14,0.24,0.62,"unknown","repressor"
"HIC2",0.162921348314607,0.157303370786517,0.224719101123595,0.702247191011236,"unknown","repressor"
"HIF1A",0.277310924369748,0.243697478991597,0.663865546218487,0.319327731092437,"unknown","activator"
"HINFP",0.157894736842105,0.181578947368421,0.684210526315789,0.307894736842105,"unknown","activator"
"HMBOX1",0.25,0.28125,0.625,0.28125,"unknown","activator"
"HMX3",0.172413793103448,0.160919540229885,0.436781609195402,0.459770114942529,"unknown","unknown"
"HOXB2::ELK1",0.24390243902439,0.164634146341463,0.902439024390244,0.0792682926829268,"unknown","activator"
"HOXB3",0.232558139534884,0.209302325581395,0.325581395348837,0.488372093023256,"unknown","unknown"
"HOXB7",0.153846153846154,0.115384615384615,0.538461538461538,0.192307692307692,"unknown","activator"
"HOXB9",0.181818181818182,0.272727272727273,0.545454545454545,0.272727272727273,"unknown","activator"
"HOXC9",0.173913043478261,0.260869565217391,0.521739130434783,0.304347826086957,"unknown","activator"
"HSF1",0.117241379310345,0.117241379310345,0.606896551724138,0.317241379310345,"unknown","activator"
"HSF2",0.0783132530120482,0.144578313253012,0.578313253012048,0.355421686746988,"unknown","activator"
"HSF4",0.108974358974359,0.108974358974359,0.608974358974359,0.33974358974359,"unknown","activator"
"IKZF1",0.171284634760705,0.120906801007557,0.753148614609572,0.178841309823678,"unknown","activator"
"IRF1",0.168704156479218,0.139364303178484,0.650366748166259,0.251833740831296,"unknown","activator"
"IRF2",0.16412213740458,0.141221374045802,0.786259541984733,0.156488549618321,"unknown","activator"
"IRF3",0.123515439429929,0.140142517814727,0.783847980997625,0.182897862232779,"unknown","activator"
"IRF7",0.178571428571429,0.173469387755102,0.76530612244898,0.173469387755102,"unknown","activator"
"IRF9",0.170854271356784,0.185929648241206,0.723618090452261,0.226130653266332,"unknown","activator"
"JDP2",0.16236722306525,0.200303490136571,0.839150227617602,0.159332321699545,"unknown","activator"
"JUN",0.176848874598071,0.135048231511254,0.723472668810289,0.234726688102894,"unknown","activator"
"JUN::JUNB",0.168439716312057,0.223404255319149,0.813829787234043,0.177304964539007,"unknown","activator"
"JUNB",0.143801652892562,0.203305785123967,0.818181818181818,0.173553719008264,"unknown","activator"
"JUND",0.164179104477612,0.170149253731343,0.755223880597015,0.214925373134328,"unknown","activator"
"KLF1",0.202439570277529,0.163160250671441,0.67300805729633,0.319606087735004,"unknown","activator"
"KLF10",0.203080903104421,0.163217309501411,0.670155221072437,0.322906867356538,"unknown","activator"
"KLF11",0.237047756874096,0.185817655571635,0.69232995658466,0.298986975397974,"unknown","activator"
"KLF13",0.184568835098336,0.148260211800303,0.698940998487141,0.284417549167927,"unknown","activator"
"KLF15",0.232677293428757,0.189573845152895,0.688760572543917,0.303919973975277,"unknown","activator"
"KLF16",0.236765957446809,0.186723404255319,0.673191489361702,0.32,"unknown","activator"
"KLF3",0.230221518987342,0.188291139240506,0.664556962025316,0.323575949367089,"unknown","activator"
"KLF6",0.239498894620486,0.192336035372144,0.6551215917465,0.329403095062638,"unknown","activator"
"KLF9",0.136071428571429,0.129285714285714,0.560714285714286,0.393928571428571,"unknown","activator"
"LBX2",0.340909090909091,0.159090909090909,0.590909090909091,0.363636363636364,"unknown","activator"
"LEF1",0.160919540229885,0.160919540229885,0.597701149425287,0.32183908045977,"unknown","activator"
"LHX6",0.181818181818182,0.212121212121212,0.272727272727273,0.545454545454545,"unknown","repressor"
"LIN54",0.12396694214876,0.173553719008264,0.347107438016529,0.56198347107438,"unknown","repressor"
"MAFF",0.0956521739130435,0.0956521739130435,0.417391304347826,0.504347826086956,"unknown","repressor"
"MAFG",0.192567567567568,0.182432432432432,0.712837837837838,0.266891891891892,"unknown","activator"
"MAFG::NFE2L1",0.232558139534884,0.135658914728682,0.790697674418605,0.174418604651163,"unknown","activator"
"MAFK",0.204968944099379,0.167701863354037,0.704968944099379,0.260869565217391,"unknown","activator"
"MAX",0.180555555555556,0.291666666666667,0.680555555555556,0.3125,"unknown","activator"
"MAX::MYC",0.221674876847291,0.226600985221675,0.650246305418719,0.32512315270936,"unknown","activator"
"MAZ",0.212865002115954,0.176258992805755,0.528988573846805,0.448370715192552,"unknown","activator"
"MECOM",0.121212121212121,0.141414141414141,0.434343434343434,0.454545454545455,"unknown","unknown"
"MEF2A",0.127882599580713,0.132075471698113,0.358490566037736,0.545073375262054,"unknown","repressor"
"MEF2C",0.112903225806452,0.158986175115207,0.387096774193548,0.490783410138249,"unknown","unknown"
"MEF2D",0.135220125786164,0.138364779874214,0.311320754716981,0.569182389937107,"unknown","repressor"
"MEIS1",0.132530120481928,0.072289156626506,0.301204819277108,0.614457831325301,"unknown","repressor"
"MEIS2",0.139784946236559,0.161290322580645,0.258064516129032,0.602150537634409,"unknown","repressor"
"MITF",0.204347826086957,0.121739130434783,0.891304347826087,0.1,"unknown","activator"
"MLX",0.276807980049875,0.239401496259352,0.872817955112219,0.127182044887781,"unknown","activator"
"MLXIPL",0.295454545454545,0.227272727272727,0.875,0.125,"unknown","activator"
"MNT",0.184397163120567,0.297872340425532,0.602836879432624,0.368794326241135,"unknown","activator"
"MSANTD3",0.208530805687204,0.279620853080569,0.530805687203792,0.412322274881517,"unknown","activator"
"MTF1",0.165137614678899,0.155963302752294,0.559633027522936,0.385321100917431,"unknown","activator"
"MXI1",0.184873949579832,0.243697478991597,0.453781512605042,0.46218487394958,"unknown","unknown"
"MYB",0.242647058823529,0.25,0.566176470588235,0.367647058823529,"unknown","activator"
"MYBL2",0.142857142857143,0.0571428571428571,0.914285714285714,0.0857142857142857,"unknown","activator"
"MYC",0.194117647058824,0.188235294117647,0.667647058823529,0.314705882352941,"unknown","activator"
"MZF1",0.128491620111732,0.11731843575419,0.407821229050279,0.497206703910615,"unknown","unknown"
"NFAT5",0.119047619047619,0.0892857142857143,0.410714285714286,0.452380952380952,"unknown","unknown"
"NFATC1",0.12,0.125714285714286,0.445714285714286,0.428571428571429,"unknown","unknown"
"NFATC2",0.174757281553398,0.0922330097087379,0.490291262135922,0.436893203883495,"unknown","unknown"
"NFATC3",0.128205128205128,0.102564102564103,0.376068376068376,0.452991452991453,"unknown","unknown"
"NFATC4",0.202898550724638,0.181159420289855,0.521739130434783,0.333333333333333,"unknown","activator"
"NFE2",0.256410256410256,0.239316239316239,0.82051282051282,0.162393162393162,"unknown","activator"
"NFE2L2",0.212686567164179,0.149253731343284,0.764925373134328,0.201492537313433,"unknown","activator"
"NFIA",0.25974025974026,0.194805194805195,0.324675324675325,0.597402597402597,"unknown","repressor"
"NFIB",0.0886075949367089,0.146835443037975,0.531645569620253,0.437974683544304,"unknown","activator"
"NFIC",0.212707182320442,0.151933701657459,0.5,0.439226519337017,"unknown","unknown"
"NFIL3",0.1,0.08,0.44,0.44,"unknown","unknown"
